City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,mirny,62.5353,113.9611,289.95,88,100,1.79,RU,1691611399
200,ponta delgada,37.7333,-25.6667,296.55,94,75,3.09,PT,1691611399
201,balabac,7.9868,117.0645,300.82,80,87,4.68,PH,1691611399
202,dilling,12.05,29.65,298.22,72,62,3.39,SD,1691611399
203,isola di capo rizzuto,38.96,17.0933,296.7,65,51,4.26,IT,1691611415
204,la passe,45.5549,-0.8967,301.28,44,0,4.65,FR,1691611415
205,minas de marcona,-15.2119,-75.1103,291.08,61,6,5.0,PE,1691611415
206,puerto rico,-26.796,-55.024,292.97,87,93,1.19,AR,1691611415
207,tortoli,39.9256,9.6572,295.44,65,100,1.36,IT,1691611415
208,alupka,44.4167,34.05,296.73,74,85,0.65,UA,1691611416
209,zunheboto,25.9667,94.5167,292.68,99,100,0.7,IN,1691611416
210,atafu village,-8.5421,-172.5159,301.39,80,100,6.63,TK,1691611416
211,gadzhiyevo,69.2551,33.3362,292.57,73,0,1.91,RU,1691611416
212,tazovsky,67.4667,78.7,280.95,88,75,7.74,RU,1691611416
213,pyay,18.8167,95.2167,296.47,98,100,2.88,MM,1691611438
214,cherepanovo,54.2222,83.381,288.22,74,13,2.85,RU,1691611438
215,marsh harbour,26.5412,-77.0636,303.71,67,66,1.83,BS,1691611149
216,st. john's,47.5649,-52.7093,289.08,83,75,5.66,CA,1691611229
217,yambio,4.5721,28.3955,294.1,92,30,0.62,SS,1691611439
218,polyarnyy,69.1989,33.4478,292.97,72,0,2.61,RU,1691611439
219,geraldton,-28.7667,114.6,282.38,87,100,2.57,AU,1691611439
220,saipan,15.1355,145.701,301.54,100,100,3.6,MP,1691611439
221,alice springs,-23.7,133.8833,280.9,66,0,3.09,AU,1691611439
222,dingcheng,32.1272,115.0394,297.33,86,63,2.42,CN,1691611439
223,goundam,16.4145,-3.6708,311.01,26,97,5.02,ML,1691611440
224,belyy yar,53.6039,91.3903,292.39,60,99,1.43,RU,1691611440
225,kolokani,13.5728,-8.0339,302.81,48,38,3.04,ML,1691611440
226,praia da vitoria,38.7333,-27.0667,300.29,69,20,4.73,PT,1691611440
227,babruysk,53.15,29.2333,289.19,65,82,2.0,BY,1691611440
228,sona,45.4388,10.8255,295.9,68,0,2.57,IT,1691611440
229,antsiranana,-12.2787,49.2917,295.3,79,1,5.47,MG,1691611441
230,riobamba,-1.6667,-78.6333,292.35,55,75,7.2,EC,1691611441
231,island harbour,50.724,-1.2758,291.65,84,0,1.7,GB,1691611441
232,husainabad,24.5333,84.0167,298.9,86,100,2.18,IN,1691611441
233,oberstaufen,47.55,10.0333,288.39,70,100,1.43,DE,1691611441
234,al fulah,11.7329,28.3579,299.75,59,3,2.67,SD,1691611441
235,alo,7.4178,6.7371,296.74,96,91,1.68,NG,1691611441
236,joal-fadiout,14.1667,-16.8333,300.14,72,90,6.13,SN,1691611442
237,mount pearl,47.5166,-52.7813,288.13,83,75,5.66,CA,1691611442
238,madhupur,24.25,86.65,298.15,87,100,2.61,IN,1691611442
239,christchurch,-43.5333,172.6333,276.45,77,80,4.63,NZ,1691611213
240,tobol'sk,58.2,68.2667,288.34,89,100,3.43,RU,1691611442
241,santarem,-2.4431,-54.7083,306.22,62,20,6.17,BR,1691611443
242,mana,5.6592,-53.7767,301.54,74,64,5.86,GF,1691611443
243,hotan,37.0997,79.9269,301.3,27,64,3.05,CN,1691611443
244,sallisaw,35.4604,-94.7875,302.13,84,0,3.09,US,1691611443
245,lionel town,17.8101,-77.2406,307.09,59,12,5.43,JM,1691611443
246,turpan,42.9333,89.1667,306.61,25,31,2.21,CN,1691611444
247,kingston,17.997,-76.7936,306.68,69,20,9.77,JM,1691611383
248,tiquipaya,-17.3382,-66.2189,300.55,10,20,3.09,BO,1691611444
249,linares,-35.85,-71.6,289.51,56,100,4.78,CL,1691611219
250,yuzhno-sukhokumsk,44.6581,45.6436,304.55,33,0,4.88,RU,1691611444
251,nizhniy ingash,56.2,96.53,288.85,94,100,1.77,RU,1691611444
252,cabedelo,-6.9811,-34.8339,301.52,79,18,5.36,BR,1691611244
253,tanjung pinang,0.9167,104.45,301.17,78,100,4.3,ID,1691611444
254,fale old settlement,-9.3852,-171.2468,301.53,78,11,6.68,TK,1691611445
255,nha trang,12.25,109.1833,301.15,77,73,2.91,VN,1691611445
256,vorgashor,67.5833,63.95,281.51,83,38,2.85,RU,1691611445
257,fuyu,45.1833,124.8167,290.74,87,78,2.96,CN,1691611445
258,tofol,5.3248,163.0078,301.1,75,88,4.47,FM,1691611446
259,senillosa,-39.0,-68.4167,287.03,27,100,4.76,AR,1691611446
260,hammerfest,70.6634,23.6821,297.4,60,0,2.06,NO,1691611373
261,nadi,-17.8,177.4167,296.15,78,75,1.54,FJ,1691611446
262,bowen,-20.0167,148.2333,289.03,92,32,4.52,AU,1691611446
263,ghat,24.9647,10.1728,305.76,13,0,7.01,LY,1691611446
264,kapuskasing,49.4169,-82.4331,296.2,68,75,4.12,CA,1691611446
265,luanda,-8.8368,13.2343,295.15,73,6,3.6,AO,1691611238
266,utrik,11.2278,169.8474,301.14,74,89,5.03,MH,1691611447
267,petawawa,45.9001,-77.3328,300.25,64,40,2.57,CA,1691611404
268,enewetak,11.3474,162.3373,301.55,77,82,6.53,MH,1691611447
269,songea,-10.6833,35.65,290.79,63,0,1.03,TZ,1691611462
